[2025-02-10 12:02:04] ,2,-6.537,479.94,-74.612,25.528,487.916,43.199,

[2025-02-10 12:02:14] ,1,7.294,414.278,-20.854,-9.183,517.161,3.066,

[2025-02-10 12:02:26] ,2,16.756,448.676,-99.713,7.786,477.309,147.567,

[2025-02-10 12:02:39] ,4,66.475,488.704,50.684,-3.233,515.514,-52.595,

[2025-02-10 12:02:52] ,1,55.415,479.259,84.898,-4.957,513.599,57.724,

[2025-02-10 12:03:10] ,1,20.739,423.637,-13.416,17.708,457.118,-24.986,

[2025-02-10 12:03:20] ,1,59.054,485.289,-73.985,39.523,492.775,-11.81,

[2025-02-10 12:03:33] ,2,19.233,441.446,-70.925,38.271,512.152,18.759,

[2025-02-10 12:03:45] ,3,43.076,419.344,65.999,48.751,463.709,21.309,

[2025-02-10 12:03:58] ,3,-7.03,479.571,86.211,6.864,498.114,-71.086,

[2025-02-10 12:04:12] ,1,71.093,494.105,67.341,3.126,498.914,-79.287,

[2025-02-10 12:04:22] ,1,20.313,513.42,39.936,1.23,515.382,-12.417,

[2025-02-10 12:04:35] ,3,45.983,467.862,-19.983,49.673,501.607,-15.422,

[2025-02-10 12:04:49] ,3,41.671,465.343,31.412,17.519,477.31,77.512,

[2025-02-10 13:28:41] ,3,37.698,477.616,-48.743,50.398,487.239,-27.582,

[2025-02-10 13:28:51] ,1,84.159,461.036,-66.4,4.554,492.035,-30.877,

[2025-02-10 13:29:01] ,2,71.292,425.68,15.03,37.99,493.955,103.912,

[2025-02-10 13:29:23] ,1,54.194,432.814,83.379,50.464,475.573,-2.534,

[2025-02-10 13:29:32] ,1,38.364,494.679,-30.44,71.395,513.256,30.964,

[2025-02-10 13:29:44] ,2,-8.508,443.195,-45,45.96,451.764,-68.854,

[2025-02-10 13:29:57] ,3,11.248,466.609,-4.139,34.47,470.366,-47.397,

[2025-02-10 13:30:09] ,3,75.2,485.459,-49.357,10.339,516.595,68.057,

[2025-02-10 13:30:22] ,4,71.687,421.066,-62.978,84.285,516.491,7.907,

[2025-02-10 13:30:36] ,2,72.535,404.937,116.565,71.199,461.207,54.048,

[2025-02-10 13:30:44] ,2,38.972,470.34,77.307,43.346,488.227,-154.12,

[2025-02-10 13:30:57] ,3,27.067,426.668,-26.227,20.74,474.846,47.141,

[2025-02-10 13:31:09] ,3,-12.368,512.367,83.066,3.612,516.832,-75.685,

[2025-02-10 13:31:23] ,1,36.68,470.648,-49.939,68.392,489.677,-9.713,

[2025-02-10 13:31:34] ,1,43.239,490.889,-42.852,-2.464,502.073,-57.295,

[2025-02-10 13:31:46] ,2,-2.279,406.613,-124.824,-1.867,422.318,-28.163,

[2025-02-10 13:31:58] ,2,69.71,469.18,-29.302,5.965,472.295,74.612,

[2025-02-10 13:32:12] ,2,8.942,452.966,-10.62,12.67,502.185,-149.123,

[2025-02-10 13:32:24] ,1,19.158,504.243,-16.504,78.64,509.709,-33.977,

[2025-02-10 13:32:43] ,1,-4.372,425.152,24.74,25.897,444.249,-45,

[2025-02-10 13:32:53] ,2,7.743,454.442,-113.398,58.796,500.013,149.3,

[2025-02-10 13:33:08] ,1,31.664,461.518,45,66.332,487.668,77.692,

[2025-02-10 13:33:19] ,3,22.683,492.385,78.914,-3.327,508.656,36.642,

[2025-02-10 13:33:32] ,1,34.353,432.009,40.657,54.05,481.699,-30.184,

[2025-02-10 13:33:44] ,1,29.571,490.271,-23.86,9.266,498.18,47.49,

[2025-02-10 13:33:54] ,2,12.634,469.055,75.231,40.935,486.559,-41.8,

[2025-02-10 13:34:07] ,3,68.026,502.068,-43.643,-6.994,504.863,33.901,

[2025-02-10 13:34:21] ,2,67.275,482.037,57.295,51.626,505.801,65.726,

[2025-02-10 13:34:31] ,3,8.434,505.232,-53.973,70.064,514.459,-77.179,

[2025-02-10 13:34:52] ,1,-4.24,422.582,26.792,22.079,433.828,-86.455,

[2025-02-10 13:35:02] ,2,66.612,401.557,-19.093,8.217,409.862,-152.049,

[2025-02-10 13:35:14] ,2,2.219,443.409,173.32,20.41,474.914,159.034,

[2025-02-10 13:35:26] ,2,59.494,488.096,25.419,20.82,491.129,-129.218,

[2025-02-10 13:35:40] ,1,8.82,485.195,75.719,44.38,507.777,-58.861,

[2025-02-10 13:35:50] ,2,-10.921,503.874,-137.175,63.091,503.897,30.964,

[2025-02-10 13:36:02] ,3,10.438,503.716,-84.289,79.032,505.693,-44.185,

[2025-02-10 13:36:18] ,1,5.493,476.6,-58.95,17.246,509.252,15.03,

[2025-02-10 13:36:31] ,1,-11.08,491.129,50.782,59.791,517.987,-35.417,

[2025-02-10 13:36:51] ,1,48.751,427.525,-24.74,33.686,442.256,-73.639,

[2025-02-10 13:37:01] ,1,13.951,459.227,-9.713,-10.534,476.523,39.289,

